	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin01g01170	28	43	29	50	60	47
gene:Bcin01g01180	1471	1621	1565	1162	1201	716
gene:Bcin01g01190	3196	3734	2749	10873	13789	5433
gene:Bcin01g01200	116	155	110	241	191	147
gene:Bcin01g01210	2226	2555	2041	6752	8215	4444
gene:Bcin01g01220	351	313	279	292	437	240
gene:Bcin01g01230	467	463	409	374	320	232
gene:Bcin01g01240	165	141	163	162	173	160
gene:Bcin01g01250	3	3	1	2	5	5
gene:Bcin01g01260	410	285	840	3	4	5
gene:Bcin01g01270	12	8	5	19	15	9
gene:Bcin01g01280	651	736	638	590	494	367
gene:Bcin01g01290	777	1058	698	762	719	563
gene:Bcin01g01300	531	825	248	177	117	112
gene:Bcin01g01310	33	44	23	11	2	7
gene:Bcin01g01320	7015	9743	7578	140	75	65
gene:Bcin01g01330	2	5	2	4	1	2
gene:Bcin01g01340	15	20	16	14	5	5
gene:Bcin01g01350	19	14	16	49	46	35
gene:Bcin01g01360	0	0	0	0	0	0
gene:Bcin01g01370	0	0	0	0	0	0
gene:Bcin01g01380	49	51	34	79	59	39
gene:Bcin01g01390	375	448	318	546	466	405
gene:Bcin01g01400	129	122	87	231	173	167
gene:Bcin01g01410	41	29	16	55	66	43
gene:Bcin01g01420	72	87	37	186	193	171
gene:Bcin01g01430	166	371	198	704	550	443
gene:Bcin01g01440	429	862	1130	9415	7611	6536
gene:Bcin01g01450	25	46	117	8	10	5
gene:Bcin01g01460	8	9	8	29	26	13
gene:Bcin01g01470	0	4	1	0	2	0
gene:Bcin01g01480	107	91	105	58	93	68
gene:Bcin01g01490	387	505	306	429	444	355
gene:Bcin01g01500	591	664	672	1254	927	824
gene:Bcin01g01510	1247	1403	1128	1600	1015	1063
gene:Bcin01g01520	2256	2336	2122	2334	1830	1624
gene:Bcin01g01530	698	741	632	456	340	321
gene:Bcin01g01540	70	87	37	5	4	3
gene:Bcin01g01550	15106	15909	8134	2617	1493	1659
gene:EFBcG00000013162	14	25	10	2	7	2
