	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:ENSRNA049534977	0	0	0	0	0	0
gene:Bcin01g11100	0	0	0	0	0	0
gene:Bcin01g11110	2	1	2	9	4	4
gene:Bcin01g11120	276	332	265	245	169	145
gene:Bcin01g11130	37	39	43	51	42	34
gene:Bcin01g11140	34	48	25	20	19	12
gene:Bcin01g11150	2885	3029	1812	67	40	28
gene:Bcin01g11160	1056	1117	796	38	28	47
gene:Bcin01g11170	1329	1702	1409	1218	1042	883
gene:Bcin01g11180	184	195	220	200	126	124
gene:Bcin01g11190	0	4	0	2	2	1
gene:Bcin01g11200	86	143	89	74	50	37
gene:Bcin01g11210	5	8	9	46	27	13
gene:Bcin01g11220	1636	2069	1399	2962	4960	2501
gene:Bcin01g11230	534	588	478	664	621	521
gene:Bcin01g11240	133	148	141	138	121	106
gene:Bcin01g11250	0	1	0	5	5	2
gene:Bcin01g11260	1	2	0	1	3	5
gene:Bcin01g11270	69	102	73	51	66	28
gene:Bcin01g11280	262	253	260	206	286	154
gene:Bcin01g11290	33	22	15	62	71	28
gene:Bcin01g11300	2686	2732	2339	8764	13360	10424
gene:Bcin01g11310	28	32	18	216	147	132
gene:Bcin01g11320	162	207	181	279	313	251
gene:Bcin01g11330	3553	4610	3280	2890	2243	2079
gene:Bcin01g11340	1094	1315	968	652	721	597
gene:Bcin01g11350	418	489	380	490	314	322
gene:Bcin01g11360	1979	2555	1708	1671	1476	1138
gene:Bcin01g11370	0	0	0	2	0	0
gene:Bcin01g11380	1	2	0	1	0	1
gene:Bcin01g11390	365	422	299	171	118	96
gene:Bcin01g11400	0	1	3	3	1	2
gene:Bcin01g11410	2	3	8	0	1	2
gene:Bcin01g11420	5	14	17	22	9	11
gene:Bcin01g11430	137	158	143	137	103	84
gene:Bcin01g11440	1	0	2	0	2	0
gene:Bcin01g11450	9	17	12	15	11	19
gene:Bcin01g11460	3	6	1	14	15	10
gene:Bcin01g11470	3	4	2	6	8	7
gene:Bcin01g11480	0	1	1	5	7	2
gene:Bcin01g11490	0	0	0	2	1	3
gene:Bcin01g11500	142	144	145	285	238	203
gene:Bcin01g11510	10	25	18	82	119	114
gene:Bcin01g11520	5	5	1	30	12	15
gene:Bcin01g11530	0	2	4	15	9	10
gene:Bcin01g11540	35	45	17	20	35	23
gene:Bcin01g11550	214	244	185	159	192	131
gene:Bcin01g11560	56	51	46	30	30	36
gene:Bcin10g00010	144	212	47	1196	1534	1100
gene:Bcin10g00020	174	276	72	685	936	587
gene:Bcin10g00030	6843	9015	3592	27575	32120	28025
gene:Bcin10g00040	317	388	125	669	798	752
gene:Bcin10g00050	24	23	26	194	114	117
gene:Bcin10g00060	492	546	617	1513	886	811
gene:Bcin10g00070	2	0	0	0	0	0
gene:Bcin10g00080	0	0	0	15	36	20
gene:Bcin10g00090	0	0	0	21	16	26
gene:Bcin10g00100	0	0	0	0	1	0
gene:Bcin10g00110	1486	1663	1651	1199	973	877
gene:Bcin10g00120	1234	1592	1372	1773	1200	1233
gene:Bcin10g00130	984	1013	820	802	947	586
gene:Bcin10g00140	1113	1078	917	7408	3327	3086
gene:Bcin10g00150	56	58	65	482	353	329
gene:Bcin10g00160	0	0	0	0	0	0
gene:Bcin10g00170	0	0	0	0	0	0
gene:Bcin10g00180	7	3	0	5	3	2
gene:Bcin10g00190	38	31	31	74	36	35
gene:Bcin10g00200	827	1029	825	737	788	558
gene:Bcin10g00210	17	14	9	22	16	10
gene:Bcin10g00220	0	3	0	3	2	5
gene:Bcin10g00230	149	148	137	125	88	70
gene:Bcin10g00240	543	596	522	632	436	463
gene:Bcin10g00250	2324	2792	2395	2072	1644	1537
gene:Bcin10g00260	228	250	226	155	110	126
gene:Bcin10g00270	787	863	681	667	678	541
gene:Bcin10g00280	6	5	6	12	13	0
gene:Bcin10g00290	3	2	1	2	4	2
gene:Bcin10g00300	62866	55478	74394	21366	12378	14086
gene:Bcin10g00310	1572	1485	1313	940	1038	779
gene:Bcin10g00320	0	3	2	1	2	0
gene:Bcin10g00330	20	20	39	97	109	87
gene:Bcin10g00340	1736	2102	1551	1953	1838	1441
gene:Bcin10g00350	13	18	6	59	74	82
gene:EFBcG00000013085	0	0	0	0	0	0
gene:ENSRNA049536313	0	0	0	0	0	0
gene:Bcin10g00360	720	710	653	498	501	383
gene:Bcin10g00370	532	469	552	489	683	422
gene:Bcin10g00380	568	440	720	13181	16496	10918
gene:Bcin10g00390	1976	2204	1793	1930	1911	1493
gene:Bcin10g00400	882	794	653	702	584	463
gene:Bcin10g00410	1197	1462	1110	715	682	571
gene:Bcin10g00420	631	685	859	216	180	132
gene:Bcin10g00430	549	652	503	178	167	118
gene:Bcin10g00440	1247	1646	1104	344	311	278
gene:Bcin10g00450	62	73	63	188	299	123
gene:Bcin10g00460	2086	2312	2033	976	871	722
gene:Bcin10g00470	2	5	2	7	5	3
gene:EFBcG00000013211	0	0	0	0	0	0
gene:ENSRNA049511667	0	0	0	0	0	0
gene:Bcin10g00480	11868	12550	10963	6997	12644	7475
gene:Bcin10g00490	882	1115	1340	1370	1521	658
gene:Bcin10g00500	4	4	4	6	4	1
gene:Bcin10g00510	3001	3230	2915	2031	2179	1343
gene:Bcin10g00520	1244	1411	831	11467	16631	4453
gene:Bcin10g00530	56	64	38	35	63	26
gene:Bcin10g00540	3932	4217	4033	2636	2310	2130
gene:Bcin10g00550	428	528	449	407	328	310
gene:Bcin10g00560	232	347	197	555	729	493
gene:Bcin10g00570	758	898	819	575	487	416
gene:Bcin10g00580	279	358	267	311	346	261
gene:Bcin10g00590	1022	1157	977	896	691	670
gene:Bcin10g00600	810	796	782	794	720	623
gene:Bcin10g00610	114	122	112	284	458	228
gene:Bcin10g00620	819	899	784	761	1301	743
gene:Bcin10g00630	557	701	508	484	406	410
gene:Bcin10g00640	3376	3543	2985	3009	2626	2381
gene:Bcin10g00650	2314	2922	2543	1662	1423	1279
gene:Bcin10g00660	681	801	364	370	563	353
gene:Bcin10g00670	1163	1585	1088	731	718	652
gene:Bcin10g00680	378	388	350	291	227	219
gene:Bcin10g00690	29	42	31	49	36	33
gene:Bcin10g00700	0	1	3	1	3	0
gene:Bcin10g00710	0	0	0	0	2	0
gene:Bcin10g00720	372	499	324	191	130	136
gene:Bcin10g00730	3	7	6	1	0	3
gene:Bcin10g00740	1225	1646	1105	1241	815	740
gene:Bcin10g00750	1440	1752	1180	1528	1338	1021
gene:Bcin10g00760	4	8	3	6	5	2
gene:Bcin10g00770	599	686	511	384	326	265
gene:EFBcG00000013253	1	3	0	0	1	0
gene:Bcin10g00780	1467	1670	1199	1277	1174	991
gene:Bcin10g00790	1713	1889	1569	1021	695	673
gene:Bcin10g00800	11	10	5	14	27	13
gene:Bcin10g00810	0	0	0	0	0	0
gene:Bcin10g00820	0	0	0	0	0	0
gene:Bcin10g00830	1	2	4	11	7	8
gene:Bcin10g00840	91	101	49	68	33	32
gene:Bcin10g00850	64	88	59	39	17	18
gene:Bcin10g00860	268	301	243	470	555	400
gene:Bcin10g00870	83	97	95	111	126	97
gene:Bcin10g00880	1	1	1	0	0	4
gene:Bcin10g00890	454	446	262	284	268	245
gene:EFBcG00000013122	0	0	0	0	0	0
gene:Bcin10g00900	286	294	312	219	104	122
gene:Bcin10g00910	0	0	0	0	0	0
gene:Bcin10g00920	71	91	73	101	62	61
gene:Bcin10g00930	677	809	674	753	567	495
gene:Bcin10g00940	688	929	659	772	677	571
gene:Bcin10g00950	219	304	257	114	60	62
gene:Bcin10g00960	4	7	3	8	7	4
gene:Bcin10g00970	49	71	50	88	42	52
gene:Bcin10g00980	24	40	22	26	27	23
gene:Bcin10g00990	453	580	398	497	369	300
gene:Bcin10g01000	613	768	609	531	395	401
gene:Bcin10g01010	2	6	1	12	6	4
gene:Bcin10g01020	864	1279	756	903	813	836
gene:Bcin10g01030	7151	9660	6498	11962	11977	10050
gene:Bcin10g01040	317	306	270	215	183	150
gene:EFBcG00000013296	7	7	5	12	8	8
gene:Bcin10g01050	3810	4119	3528	3802	3893	3263
gene:Bcin10g01060	2710	3490	2007	1217	1190	1019
gene:Bcin10g01070	123	147	106	94	92	65
gene:Bcin10g01080	619	913	321	733	309	278
gene:Bcin10g01090	317	348	318	395	289	234
gene:Bcin10g01100	42	48	38	42	30	29
gene:Bcin10g01110	48	71	35	53	56	59
gene:Bcin10g01120	1263	1393	1243	1704	1500	1290
gene:Bcin10g01130	1145	1126	962	834	588	615
gene:Bcin10g01140	0	0	0	1	0	2
gene:Bcin10g01150	26	43	14	183	74	58
gene:Bcin10g01160	186	237	175	177	171	137
gene:Bcin10g01170	217	283	177	146	151	123
gene:Bcin10g01180	6467	6535	4826	7114	5611	4570
gene:Bcin10g01190	1686	1897	1693	1571	1417	1012
gene:Bcin10g01200	0	0	0	0	1	0
gene:Bcin10g01210	165	119	39	2	59	17
gene:Bcin10g01220	625	708	524	878	977	619
gene:Bcin10g01230	354	372	321	528	639	460
gene:Bcin10g01240	2617	3361	2702	2722	2252	2010
gene:Bcin10g01250	2426	2466	2254	2095	1694	1288
gene:Bcin10g01260	28272	29582	25634	32967	28976	24671
gene:Bcin10g01270	2059	2365	1259	197	165	133
gene:Bcin10g01280	16	19	12	67	43	49
gene:Bcin10g01290	656	644	569	990	884	747
gene:Bcin10g01300	50	67	33	26	34	17
gene:Bcin10g01310	54	50	41	21	13	7
gene:Bcin10g01320	1121	1373	1064	1420	1389	1139
gene:Bcin10g01330	821	1088	714	645	785	710
gene:Bcin10g01340	0	0	0	0	0	3
gene:Bcin10g01350	19	20	14	19	31	35
gene:Bcin10g01360	0	0	0	1	0	1
gene:Bcin10g01370	1	6	2	5	5	7
gene:Bcin10g01380	3798	4065	3140	2825	2450	2040
gene:Bcin10g01390	303	351	293	257	187	171
gene:Bcin10g01400	661	734	639	845	940	771
gene:Bcin10g01410	1184	1350	962	1137	864	788
gene:Bcin10g01430	1	0	0	0	0	1
gene:Bcin10g01440	619	786	641	424	320	265
gene:Bcin10g01450	25	38	27	19	11	5
gene:Bcin10g01460	16	14	18	3	11	7
gene:Bcin10g01470	50	91	42	21	23	16
gene:Bcin10g01480	66	76	60	50	29	17
gene:Bcin10g01490	45	66	46	51	34	35
gene:Bcin10g01500	28009	30098	29698	30876	18033	18711
gene:Bcin10g01510	18	16	9	269	476	75
gene:Bcin10g01520	995	1077	845	794	486	543
gene:Bcin10g01530	4077	4505	4300	4742	3776	3218
gene:Bcin10g01540	654	869	731	934	685	617
gene:Bcin10g01550	12758	15534	8995	3176	4012	3519
gene:Bcin10g01560	5	8	0	1	3	3
gene:Bcin10g01570	920	1020	889	599	651	599
gene:Bcin10g01580	1317	1353	1173	878	779	716
gene:Bcin10g01590	2648	2753	2574	3171	3817	2902
gene:Bcin10g01600	860	971	663	443	608	458
gene:Bcin10g01610	304	259	274	114	87	62
gene:Bcin10g01620	338	430	341	295	151	172
gene:Bcin10g01630	288	339	276	221	143	182
gene:Bcin10g01640	97	108	86	86	68	87
gene:Bcin10g01650	0	5	1	0	5	2
gene:Bcin10g01660	1819	1812	1800	1047	985	734
gene:Bcin10g01670	6	3	2	8	11	4
gene:Bcin10g01680	0	0	0	0	0	0
gene:Bcin10g01690	359	435	319	923	1324	581
gene:Bcin10g01700	863	978	976	1916	1582	1103
gene:Bcin10g01710	14	10	12	24	22	23
gene:Bcin10g01720	9	7	9	11	37	20
gene:Bcin10g01730	0	0	0	1	0	0
gene:Bcin10g01740	0	0	0	0	0	1
gene:Bcin10g01750	2	7	2	4	3	9
gene:Bcin10g01760	1	1	1	19	53	21
gene:Bcin10g01770	0	1	0	10	17	4
gene:Bcin10g01780	260	329	96	105	89	54
gene:Bcin10g01790	1	0	0	1	0	0
gene:Bcin10g01800	0	0	0	1	0	0
gene:Bcin10g01810	0	0	0	1	0	2
gene:Bcin10g01820	0	0	1	2	0	1
gene:Bcin10g01830	0	0	1	0	0	0
gene:Bcin10g01840	2117	2592	2243	152	117	79
gene:Bcin10g01850	0	0	1	6	2	0
gene:Bcin10g01860	3	11	4	4	5	5
gene:Bcin10g01870	608	738	571	481	669	597
gene:Bcin10g01880	1637	1694	944	1103	1776	1360
gene:Bcin10g01890	294	571	192	394	321	284
gene:Bcin10g01900	10	20	25	52	56	34
gene:Bcin10g01910	2	4	1	5	3	3
gene:Bcin10g01920	3	0	1	15	8	6
gene:Bcin10g01930	1	6	2	7	7	1
gene:Bcin10g01940	5	9	4	14	11	11
gene:Bcin10g01950	75	77	35	20	25	23
gene:Bcin10g01960	313	388	319	1432	1845	1090
gene:Bcin10g01970	0	1	0	0	1	0
gene:Bcin10g01980	340	297	551	99	562	138
gene:Bcin10g01990	25	43	37	29	42	34
gene:Bcin10g02000	205	280	197	169	177	139
gene:Bcin10g02010	27	51	31	90	104	56
gene:Bcin10g02020	3	4	0	3	4	3
gene:Bcin10g02030	79	88	79	271	267	238
gene:Bcin10g02040	1	3	1	9	7	9
gene:Bcin10g02050	9	11	2	27	49	34
gene:Bcin10g02060	786	894	1465	1016	844	767
gene:Bcin10g02070	118	169	175	83	50	60
gene:Bcin10g02080	6	4	2	6	9	5
gene:Bcin10g02090	448	465	428	298	317	246
gene:Bcin10g02100	632	626	508	146	73	108
gene:Bcin10g02110	0	0	0	0	0	0
gene:Bcin10g02120	0	0	0	0	0	0
gene:Bcin10g02130	453	495	447	494	354	333
gene:Bcin10g02140	3548	4474	2934	2105	1669	1448
gene:Bcin10g02150	20	30	9	80	114	88
gene:Bcin10g02160	16	20	17	67	85	33
gene:Bcin10g02170	2	2	0	6	9	7
gene:Bcin10g02180	12942	12274	5867	2412	4483	2282
gene:Bcin10g02190	21	21	19	24	40	18
gene:Bcin10g02200	1375	1411	1351	1218	1321	968
gene:Bcin10g02210	342	427	348	469	293	297
gene:Bcin10g02220	759	757	738	406	776	450
gene:Bcin10g02230	5530	6572	5433	6435	5119	4332
gene:EFBcG00000013175	0	0	0	0	0	0
gene:ENSRNA049536359	0	0	0	0	0	0
gene:Bcin10g02240	304	356	270	280	206	160
gene:Bcin10g02250	168	166	162	152	139	83
gene:Bcin10g02260	1315	1530	1405	1463	1309	1134
gene:Bcin10g02270	833	930	841	268	174	143
gene:Bcin10g02280	6623	6881	4562	3864	5875	4227
gene:Bcin10g02290	2908	3281	2442	2495	2058	1751
gene:Bcin10g02300	2006	2439	1564	1697	1934	1365
gene:Bcin10g02310	198	246	202	334	212	241
gene:Bcin10g02320	148	146	142	191	117	102
gene:Bcin10g02330	918	960	861	980	890	734
gene:Bcin10g02340	2955	3135	2224	2152	1679	1533
gene:Bcin10g02350	748	871	610	994	880	685
gene:Bcin10g02360	404	478	425	523	403	351
gene:Bcin10g02370	304	409	305	160	146	120
gene:Bcin10g02380	906	1004	922	742	832	676
gene:Bcin10g02390	224	214	182	127	104	121
gene:Bcin10g02400	123	185	139	93	52	38
gene:Bcin10g02410	204	211	173	316	217	187
gene:Bcin10g02420	516	653	437	508	532	370
gene:Bcin10g02430	1959	2125	1550	2043	1558	1390
gene:Bcin10g02440	7665	6435	8180	3128	2635	2406
gene:Bcin10g02450	2240	2511	3286	388	294	290
gene:Bcin10g02460	1487	1543	1475	1331	936	718
gene:Bcin10g02470	338	391	321	601	594	295
gene:Bcin10g02480	86	92	83	122	91	89
gene:Bcin10g02490	593	693	497	468	360	278
gene:Bcin10g02500	294	394	308	380	269	267
gene:Bcin10g02510	95	85	72	135	135	107
gene:Bcin10g02520	2	4	1	1	0	0
gene:Bcin10g02530	6667	7000	1160	32	69	64
gene:Bcin10g02540	4	2	1	6	2	1
gene:Bcin10g02550	3990	3851	2899	3509	4818	3512
gene:Bcin10g02560	75	82	48	462	293	171
gene:Bcin10g02570	401	495	312	316	345	235
gene:Bcin10g02580	396	454	355	1425	1090	620
gene:Bcin10g02590	257	318	233	501	377	261
gene:Bcin10g02600	7	22	8	11	16	9
gene:Bcin10g02610	476	649	369	600	405	417
gene:Bcin10g02620	518	564	493	267	232	215
gene:Bcin10g02630	1935	2190	1838	1736	1600	1293
gene:Bcin10g02640	412	412	290	377	347	298
gene:Bcin10g02650	19482	20941	19560	367	365	271
gene:Bcin10g02660	1401	1180	2182	628	447	403
gene:Bcin10g02670	12	15	6	16	5	2
gene:Bcin10g02680	0	0	0	1	3	0
gene:Bcin10g02690	0	1	0	0	0	0
gene:Bcin10g02700	7	6	1	6	9	6
gene:Bcin10g02710	220	194	69	168	228	219
gene:Bcin10g02720	12	7	6	17	12	7
gene:Bcin10g02730	0	0	0	0	0	0
gene:Bcin10g02740	0	0	0	0	0	0
gene:Bcin10g02750	0	0	0	0	0	0
gene:Bcin10g02760	0	0	0	2	0	0
gene:Bcin10g02770	0	0	0	0	0	0
gene:Bcin10g02780	0	0	0	0	0	0
gene:Bcin10g02790	0	0	0	0	0	0
gene:Bcin10g02800	0	0	2	0	0	0
gene:Bcin10g02810	1135	1410	1053	917	1014	789
gene:Bcin10g02820	2808	3597	3384	131	111	75
gene:Bcin10g02830	5004	5666	6269	147	135	81
gene:Bcin10g02840	466	455	419	412	321	293
gene:Bcin10g02850	5276	6362	4272	4477	5308	3743
gene:Bcin10g02860	351	397	347	441	332	334
gene:Bcin10g02870	691	828	721	863	633	578
gene:Bcin10g02880	329	378	401	325	191	187
gene:Bcin10g02890	12	12	6	10	9	6
gene:Bcin10g02900	12	23	15	14	16	15
gene:Bcin10g02910	0	0	0	0	0	1
gene:Bcin10g02920	67	78	32	14	11	7
gene:Bcin10g02930	247	240	136	10	9	4
gene:Bcin10g02940	1354	1562	1134	1069	869	807
gene:Bcin10g02950	425	431	430	251	207	170
gene:Bcin10g02960	1207	1157	1058	566	521	475
gene:Bcin10g02970	71	83	56	58	59	55
gene:Bcin10g02980	680	810	562	657	616	546
gene:Bcin10g02990	618	657	520	461	420	338
gene:Bcin10g03000	888	1014	939	1240	893	866
gene:Bcin10g03010	2052	2364	1803	1459	1261	990
gene:Bcin10g03020	499	693	462	473	432	353
gene:Bcin10g03030	43	34	56	129	211	180
gene:Bcin10g03040	28	27	18	70	22	32
gene:Bcin10g03050	26	32	29	82	73	85
gene:Bcin10g03060	5	3	0	14	9	5
gene:Bcin10g03070	1	1	2	2	0	1
gene:Bcin10g03080	43	45	35	284	156	109
gene:Bcin10g03090	1709	1791	1819	3643	2209	1945
gene:Bcin10g03100	647	859	500	399	317	312
gene:Bcin10g03110	15	22	11	28	24	16
gene:Bcin10g03120	6	4	6	8	18	7
gene:Bcin10g03130	472	619	449	449	338	255
gene:Bcin10g03140	330	399	295	378	268	251
gene:Bcin10g03150	914	883	755	1070	1279	718
gene:Bcin10g03160	177	166	225	630	616	523
gene:Bcin10g03170	185	214	146	143	131	142
gene:Bcin10g03180	263	265	277	367	483	383
gene:Bcin10g03190	504	519	373	497	648	543
gene:Bcin10g03200	535	564	537	430	411	290
gene:Bcin10g03210	801	1015	872	1018	765	641
gene:Bcin10g03220	394	432	470	285	190	197
gene:Bcin10g03230	637	712	540	354	245	202
gene:Bcin10g03240	4499	4759	3579	3815	2904	2626
gene:Bcin10g03250	2257	2425	2300	1703	1624	1135
gene:Bcin10g03260	2847	2834	3183	2007	1459	976
gene:Bcin10g03270	9	7	7	15	20	14
gene:Bcin10g03280	2445	2782	2046	1541	1421	941
gene:Bcin10g03290	1350	1528	1217	987	1069	651
gene:Bcin10g03300	667	742	568	356	269	305
gene:Bcin10g03310	1659	1832	1651	1276	1311	1043
gene:Bcin10g03320	423	379	375	165	231	142
gene:Bcin10g03330	755	931	904	1093	1161	899
gene:Bcin10g03340	2191	2474	1941	2032	1477	1331
gene:Bcin10g03350	154	132	118	138	121	73
gene:Bcin10g03360	19	30	9	14	14	5
gene:Bcin10g03370	4035	4902	3154	2552	2453	2158
gene:Bcin10g03380	128	151	109	149	109	75
gene:Bcin10g03390	83	97	61	61	50	42
gene:Bcin10g03400	1318	1252	1030	1235	1122	915
gene:Bcin10g03410	1791	1847	1871	681	912	693
gene:Bcin10g03420	690	768	659	572	741	512
gene:Bcin10g03430	2767	3390	2559	2653	2223	1760
gene:Bcin10g03440	1795	2040	1709	980	819	685
gene:Bcin10g03450	1577	1411	1018	1279	2504	1790
gene:Bcin10g03460	996	1140	1130	770	588	537
gene:Bcin10g03470	1246	1572	1276	769	619	619
gene:Bcin10g03480	1287	1401	1274	761	728	510
gene:Bcin10g03490	17	20	10	29	16	15
gene:Bcin10g03500	1059	1003	1037	659	535	446
gene:Bcin10g03510	292	299	256	253	252	196
gene:Bcin10g03520	2585	2872	2261	2402	2124	1518
gene:Bcin10g03530	8630	8267	6267	10709	19094	7846
gene:Bcin10g03540	585	752	589	687	506	431
gene:Bcin10g03550	490	623	814	1229	1397	735
gene:Bcin10g03560	2074	2435	1826	2293	2179	1577
gene:Bcin10g03570	232	231	217	381	324	235
gene:Bcin10g03580	15313	16743	14103	24048	18383	16990
gene:Bcin10g03590	3350	4006	3017	543	379	314
gene:Bcin10g03600	503	577	500	374	382	264
gene:Bcin10g03610	823	921	755	1089	1172	654
gene:Bcin10g03620	1456	1842	1428	2132	1836	1517
gene:Bcin10g03630	4191	4358	3676	2939	1993	1754
gene:Bcin10g03640	478	549	381	247	194	216
gene:Bcin10g03650	1633	1782	1600	1203	1409	1150
gene:Bcin10g03660	419	538	353	434	483	329
gene:Bcin10g03670	217	208	224	241	150	99
gene:Bcin10g03680	288	302	291	140	148	119
gene:Bcin10g03690	239	245	286	458	534	509
gene:Bcin10g03700	469	406	414	582	636	491
gene:Bcin10g03710	1	2	2	181	244	185
gene:Bcin10g03720	158	161	152	124	86	93
gene:Bcin10g03730	13	31	19	33	30	23
gene:Bcin10g03740	5	7	2	4	18	6
gene:Bcin10g03750	418	475	386	336	272	243
gene:Bcin10g03760	602	708	591	571	641	369
gene:Bcin10g03770	291	240	696	35	104	44
gene:Bcin10g03780	2282	2514	2341	2524	2374	2020
gene:Bcin10g03790	514	503	521	562	356	388
gene:Bcin10g03800	694	812	439	458	485	448
gene:Bcin10g03810	6	8	8	92	50	29
gene:Bcin10g03820	7850	8664	6229	5352	4695	4339
gene:Bcin10g03830	239	232	229	202	132	127
gene:Bcin10g03840	1924	2348	1725	2338	2036	1624
gene:Bcin10g03850	3	6	2	0	6	0
gene:Bcin10g03860	6	6	13	5	15	13
gene:Bcin10g03870	1431	1357	1742	1606	2121	1781
gene:Bcin10g03880	944	1018	834	991	1678	1000
gene:Bcin10g03890	321	394	331	568	448	293
gene:Bcin10g03900	982	930	966	463	437	376
gene:Bcin10g03910	7541	6096	9280	1554	1987	2006
gene:Bcin10g03920	735	942	667	858	616	521
gene:Bcin10g03930	5369	5836	5073	5634	4762	3758
gene:Bcin10g03940	159	224	131	95	70	71
gene:Bcin10g03950	1338	1274	846	1192	877	760
gene:Bcin10g03960	169	220	162	192	133	155
gene:Bcin10g03970	7452	6885	7676	3990	3031	2632
gene:Bcin10g03980	721	720	578	700	610	477
gene:Bcin10g03990	29	24	17	39	25	17
gene:EFBcG00000013348	0	0	0	0	0	0
gene:ENSRNA049536381	0	0	0	0	0	0
gene:EFBcG00000013099	0	0	0	0	0	0
gene:ENSRNA049536478	0	0	0	0	0	0
gene:Bcin10g04000	55	60	63	91	64	57
gene:Bcin10g04010	7	7	6	9	11	7
gene:Bcin10g04020	1987	2599	1766	1461	1553	1153
gene:Bcin10g04030	127	171	121	185	157	152
gene:Bcin10g04040	18	24	19	27	26	12
gene:Bcin10g04050	991	1004	775	918	635	556
gene:Bcin10g04060	1446	1545	1197	702	501	428
gene:Bcin10g04070	2940	3203	2098	347	318	277
gene:Bcin10g04080	17	27	10	24	25	11
gene:Bcin10g04090	1945	2446	1526	1568	1681	1295
gene:Bcin10g04100	345	389	318	197	143	202
gene:Bcin10g04110	908	1088	913	794	837	648
gene:Bcin10g04120	637	718	659	451	464	389
gene:Bcin10g04130	784	903	709	941	593	634
gene:Bcin10g04140	1218	1518	1112	1766	1496	1194
gene:Bcin10g04150	437	496	371	309	181	224
gene:Bcin10g04160	8	13	11	11	8	12
gene:Bcin10g04170	2	1	3	0	2	0
gene:Bcin10g04180	246	310	53	205	201	175
gene:Bcin10g04190	217	229	69	83	130	98
gene:Bcin10g04200	0	1	0	4	0	3
gene:Bcin10g04210	624	756	659	467	373	287
gene:EFBcG00000013333	0	0	0	0	0	0
gene:ENSRNA049536465	0	0	0	0	0	0
gene:Bcin10g04220	15605	15952	13707	21080	17295	16314
gene:Bcin10g04230	1418	1765	1669	2011	2162	1515
gene:Bcin10g04240	112	133	126	312	578	349
gene:Bcin10g04250	198	229	167	70	59	48
gene:Bcin10g04260	144	155	110	142	123	144
gene:Bcin10g04270	50	51	74	45	37	29
gene:Bcin10g04280	365	455	355	348	252	203
gene:Bcin10g04290	21978	22551	20134	32763	26512	23935
gene:Bcin10g04300	19178	20814	18447	30788	27601	23983
gene:Bcin10g04310	544	573	498	724	613	466
gene:Bcin10g04320	6537	8452	6941	11304	9553	7634
gene:Bcin10g04330	2477	3733	2603	706	581	562
gene:ENSRNA049511355	27	24	14	35	26	22
gene:Bcin10g04340	837	902	665	351	264	285
gene:Bcin10g04350	195	246	101	49	36	30
gene:Bcin10g04360	204	258	94	31	17	16
gene:Bcin10g04370	3103	4542	2049	2473	2000	1801
gene:Bcin10g04380	14	13	7	15	14	6
gene:Bcin10g04390	598	660	562	538	507	447
gene:Bcin10g04400	1167	1114	903	1891	2280	1717
gene:Bcin10g04410	625	732	655	692	549	586
gene:Bcin10g04420	2	3	2	3	3	8
gene:Bcin10g04430	0	0	0	0	0	0
gene:Bcin10g04440	4	4	4	11	6	5
gene:Bcin10g04450	505	662	391	386	363	339
gene:Bcin10g04460	0	0	0	0	0	0
gene:Bcin10g04470	0	0	0	1	1	0
gene:Bcin10g04480	670	718	440	776	875	682
gene:Bcin10g04490	89	86	46	146	194	148
gene:Bcin10g04500	109	140	119	42	25	38
gene:Bcin10g04510	203	234	181	244	203	198
gene:Bcin10g04520	0	1	0	0	1	1
gene:EFBcG00000013225	0	0	0	0	0	0
gene:ENSRNA049536443	0	0	0	0	0	0
gene:Bcin10g04530	1084	1265	989	938	1051	798
gene:Bcin10g04540	339	357	380	291	181	195
gene:Bcin10g04550	3418	3333	2683	3892	3435	2770
gene:Bcin10g04560	8	8	5	12	1	6
gene:Bcin10g04570	23	18	26	8	1	1
gene:Bcin10g04580	7776	9355	7655	6452	4323	4116
gene:Bcin10g04590	15107	15675	13354	21226	18888	15913
gene:Bcin10g04600	848	928	638	945	1259	791
gene:Bcin10g04610	15984	16132	13790	18159	16822	14367
gene:Bcin10g04620	1424	1551	1301	2490	2326	1704
gene:Bcin10g04630	151	171	129	255	228	162
gene:ENSRNA049511538	0	0	0	1	0	1
gene:Bcin10g04640	649	732	774	1300	1466	1208
gene:Bcin10g04650	1409	1712	1377	1612	1400	1155
gene:Bcin10g04660	504	472	404	356	380	242
gene:Bcin10g04670	1204	1353	1154	1281	1012	925
gene:Bcin10g04680	1082	1250	1097	965	857	766
gene:Bcin10g04690	196	180	189	191	166	141
gene:Bcin10g04700	325	396	320	372	221	231
gene:Bcin10g04710	6783	7046	4929	3771	5347	4357
gene:Bcin10g04720	22	22	7	18	8	9
gene:Bcin10g04730	22	20	10	20	18	20
gene:Bcin10g04740	0	4	0	0	0	0
gene:Bcin10g04750	0	1	0	2	0	1
gene:Bcin10g04760	0	0	0	0	0	0
gene:Bcin10g04770	0	0	0	0	1	0
gene:Bcin10g04780	22	16	3	12	20	16
gene:Bcin10g04790	0	0	0	0	0	0
gene:Bcin10g04800	9	6	6	11	6	4
gene:Bcin10g04810	519	291	313	475	258	293
gene:Bcin10g04820	1137	1248	1231	1213	1017	826
gene:Bcin10g04830	974	1003	822	715	629	543
